0,100,134,0,0,234
0,93,128,0,1,221
0,90,121,1,1,211
0,88,116,1,2,204
0,87,117,1,2,204
0,90,113,1,2,203
0,90,110,1,3,200
0,93,108,2,4,201
0,102,102,2,3,204
0,106,101,2,4,207
1,102,101,2,5,203
1,104,101,3,5,205
1,91,98,3,6,189
1,91,93,3,7,184
1,90,94,3,7,184
1,94,93,3,8,187
1,98,84,3,8,182
1,105,86,3,8,191
1,100,82,3,9,182
1,100,82,3,9,182
2,104,83,4,9,187
2,108,89,4,10,197
2,91,92,4,11,183
2,91,86,4,11,177
2,95,90,4,11,185
2,90,94,4,11,184
2,86,90,5,12,176
2,87,94,5,12,181
2,88,90,5,12,178
2,79,94,5,12,173
3,75,89,5,12,164
3,77,91,5,12,168
3,45,113,5,14,158
3,30,119,5,16,149
3,29,127,5,16,156
3,27,107,5,16,134
3,20,97,5,16,117
3,14,100,5,17,114
3,17,102,5,18,119
3,14,98,6,19,112
4,15,99,6,19,114
4,11,101,6,19,112
4,8,104,6,19,112
4,7,97,6,19,104
4,5,94,6,19,99
4,5,86,6,19,91
4,9,83,7,19,92
4,8,79,7,15,87
4,9,74,7,15,83
4,9,72,7,15,81
5,6,67,7,15,73
5,7,61,7,15,68
5,7,52,7,15,59
5,13,48,8,15,61
5,14,48,8,15,62
5,11,45,8,15,56
5,8,46,8,16,54
5,7,45,8,16,52
5,11,49,8,16,60
5,12,43,8,16,55
6,16,41,9,16,57
6,11,39,9,16,50
6,17,39,9,16,56
6,17,35,9,16,52
6,25,33,9,16,58
6,32,33,10,16,65
6,36,33,10,16,69
6,34,32,10,16,66
6,40,31,10,16,71
6,44,31,10,16,75
7,60,31,11,16,91
7,61,36,11,16,97
7,58,39,11,17,97
7,62,41,11,17,103
7,64,41,11,17,105
7,76,50,11,17,126
7,86,46,11,17,132
7,89,52,11,17,141
7,88,55,11,18,143
7,91,50,11,19,141
8,102,51,12,19,153
8,100,49,12,19,149
8,93,54,12,19,147
8,87,62,12,19,149
8,90,61,12,19,151
8,98,61,13,19,159
8,101,69,13,19,170
8,101,77,13,20,178
8,104,84,13,20,188
8,94,86,13,20,180
9,83,87,13,20,170
9,74,91,13,20,165
9,66,106,14,21,172
9,56,110,13,21,166
9,43,108,13,21,151
9,41,106,13,20,147
9,40,101,13,20,141
9,30,108,13,20,138
9,24,110,14,20,134
9,19,112,14,20,131
10,19,116,13,20,135
10,21,118,14,21,139
10,21,115,13,21,136
10,22,109,13,21,131
10,28,106,14,21,134
10,24,105,14,21,129
10,26,104,14,22,130
10,19,105,13,22,124
10,10,103,13,22,113
10,10,94,13,22,104
11,10,94,13,22,104
11,12,94,13,22,106
11,16,89,14,22,105
11,20,86,14,22,106
11,12,87,13,22,99
11,8,84,13,22,92
11,9,82,14,22,91
11,10,80,14,22,90
11,9,77,14,22,86
11,9,76,14,22,85
12,9,71,14,22,80
12,16,66,15,22,82
12,19,61,15,22,80
12,18,58,15,22,76
12,17,53,15,22,70
12,24,53,16,23,77
12,23,51,16,23,74
12,19,50,16,23,69
12,23,44,16,23,67
12,24,40,16,23,64
13,24,38,16,23,62
13,25,38,17,23,63
13,31,38,17,23,69
13,32,34,17,23,66
13,41,31,17,23,72
13,46,31,17,23,77
13,44,33,18,23,77
13,44,33,18,23,77
13,46,34,18,23,80
13,50,35,18,23,85
14,56,38,19,23,94
14,61,39,19,23,100
14,63,38,19,23,101
14,67,42,19,23,109
14,85,41,19,23,126
14,102,42,20,23,144
14,110,41,20,23,151
14,109,50,20,24,159
14,116,56,20,25,172
14,134,58,20,25,192
15,121,68,20,26,189
15,136,80,21,26,216
